condition,seed,final_learning_gain,best_learning_gain,final_mean_confusion_variance,final_mean_boredom_variance,final_mean_emotion_id_switches,best_mean_confusion_variance,best_mean_boredom_variance,best_mean_emotion_id_switches,best_checkpoint_step
A_full_emotion,42,0.6675896840519984,0.6740208324077973,0.0098102866573399,0.0010910647372831,0.228,0.0111070867378821,0.0011171026531812,0.796,10000
A_full_emotion,0,0.6958940244235119,0.697782102007648,0.0137035335022731,0.0010647282923655,9.682,0.0165775698319342,0.0010626735482278,16.638,40000
A_full_emotion,1,0.2996703896930255,0.4532107092101897,0.0022629361215269,0.0070205785704384,1.206,0.0028338792746017,0.001678339252667,0.03,20000
A_full_emotion,7,0.6053957572935577,0.6053957572935577,0.0140849464090759,0.001104557022892,0.708,0.0140849464090759,0.001104557022892,0.708,50000
A_full_emotion,13,0.3672398735752968,0.6691967087827679,0.0032610707686943,0.0174335622030351,1.302,0.0111685382393881,0.0010974256013561,1.152,10000
A_full_emotion,21,0.4269153685749688,0.6485673462291409,0.0015448622615031,0.0034799794542953,0.466,0.0099923704479925,0.0011753380956571,0.35,30000
A_full_emotion,99,0.3866052356416119,0.5883831143665202,0.0022569102920895,0.0114934262449242,2.872,0.0067695985484759,0.0014029075377335,0.192,10000
A_full_emotion,100,0.6211862569250418,0.678100549163617,0.0082066877901566,0.0012788113408445,0.004,0.011384956657374,0.0011152691143815,0.586,20000
A_full_emotion,200,0.2608458654166188,0.4369079185711573,0.0024584053968602,0.012875127252,0.908,0.0016255250218191,0.0062746302715519,0.366,10000
A_full_emotion,314,0.1976836506869285,0.3296192723169408,0.0038391825101096,0.0012790887072037,0.036,0.0022137760845663,0.0130370112088845,3.782,40000
A_full_emotion,500,0.6252932457476637,0.6870811053762772,0.009006842327113,0.0018809576338315,0.436,0.0151615833315632,0.0010428664369862,4.896,40000
A_full_emotion,777,0.1430308120226754,0.5886484622026055,0.0034073198034211,0.0167370012776323,1.91,0.0088205650286881,0.0012464378784769,0.048,10000
A_full_emotion,1234,0.3038169321258884,0.4986973280615948,0.0020931615352132,0.0144691849603064,5.812,0.0077205590418598,0.0013368255405242,0.016,30000
A_full_emotion,2024,0.3395131635272624,0.6088747092097577,0.0023991590973173,0.005622933079955,0.602,0.0080096809438268,0.00128795530256,0.13,30000
A_full_emotion,5555,0.2320015282635902,0.5375863517941407,0.0029054548581823,0.0093050232350762,2.336,0.0089630397460806,0.0013381388209522,0.272,40000
D_no_emotion_id,42,0.6587592493764461,0.6587592493764461,0.0110204324424346,0.0011615795947855,0.512,0.0110204324424346,0.0011615795947855,0.512,50000
D_no_emotion_id,0,0.360336636107637,0.6950391879850387,0.0033926759497917,0.004496837990739,0.56,0.0119430619348111,0.0010594902677879,4.348,40000
D_no_emotion_id,1,0.3124909497909846,0.5944020724832445,0.0023548331644061,0.0163181314278602,3.548,0.0090977210850276,0.0013339361855223,0.24,20000
D_no_emotion_id,7,0.5416150807964598,0.6137366660502747,0.0045621422443205,0.0012543248644633,0.004,0.0095929901876028,0.0011617981640084,1.626,30000
D_no_emotion_id,13,0.325340800704931,0.6795952273896978,0.0034281192212431,0.0063270413053244,1.434,0.010158304901531,0.001077925905118,0.986,40000
D_no_emotion_id,21,0.2817193984385537,0.675823824979735,0.0027482766510873,0.0012662486532658,0.004,0.011304531570199,0.0011054302854778,2.754,40000
D_no_emotion_id,99,0.4204144133434984,0.4374323729461416,0.0015564150381405,0.0024030602624768,0.216,0.0054885742378987,0.0019386120010466,0.17,40000
D_no_emotion_id,100,0.6740501048557047,0.6740501048557047,0.0099323155612395,0.0010769935526891,0.7,0.0099323155612395,0.0010769935526891,0.7,50000
D_no_emotion_id,200,0.6719720624618457,0.6738069283534917,0.0118011688214111,0.0010713411369106,4.198,0.0105134313181486,0.0010892543037058,1.532,30000
D_no_emotion_id,314,0.3853863368442357,0.4103867620171426,0.0036312398387341,0.0019802761990777,0.09,0.0035328858493557,0.0022468732497266,0.138,20000
D_no_emotion_id,500,0.4933632787368412,0.6818733849036657,0.004827634728297,0.0012634225347998,0.004,0.0122375480244455,0.0011334329352691,1.766,40000
D_no_emotion_id,777,0.1660743906460564,0.5814846747449733,0.0035175252466751,0.0013376573153901,0.024,0.0107947300438914,0.0012202753986041,0.394,30000
D_no_emotion_id,1234,0.4912816425828425,0.4912816425828425,0.0075348790604156,0.0029715741982445,2.404,0.0075348790604156,0.0029715741982445,2.404,50000
D_no_emotion_id,2024,0.2399778088909553,0.6360903102813241,0.0032051076688483,0.0014514757353733,0.02,0.0110926442965241,0.001199466736074,2.758,40000
D_no_emotion_id,5555,0.3692498418018178,0.6879401120880478,0.0074757081646482,0.0012354059303832,1.062,0.0114727997641502,0.0010581633069486,3.156,20000
